food,cuisine,category,display_amount,grams_per_display,protein_g_per_display,carbohydrates_g_per_display,fats_g_per_display,calories_kcal_per_display,protein_g_per_100g,carbohydrates_g_per_100g,fats_g_per_100g,calories_kcal_per_100g,source_primary,source_validation,validation_status,notes
Omelette,Eggs,breakfast,2 eggs,120,14.0,2.0,15.0,190.0,11.67,1.67,12.5,158.33,USDA FoodData Central,USDA FoodData Central egg reference,cross-validated,Plain omelette.
Egg Bhurji,Indian,breakfast,1 serving,150,14.0,6.0,16.0,220.0,9.33,4.0,10.67,146.67,Standard recipe estimate,IFCT 2017 + USDA FoodData Central egg dish comparable,recipe-estimate,Indian spiced scrambled eggs.
Poha,Marathi,breakfast,1 plate,200,6.0,44.0,12.0,300.0,3.0,22.0,6.0,150.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Flattened rice with vegetables.
Sabudana Khichdi,Marathi,breakfast,1 plate,200,5.0,50.0,16.0,380.0,2.5,25.0,8.0,190.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Sago khichdi.
Adai,South Indian,breakfast,1 piece,70,5.0,19.0,4.0,132.0,7.14,27.14,5.71,188.57,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Mixed lentil crepe.
Appam,South Indian,breakfast,1 piece,60,2.1,14.4,1.2,78.0,3.5,24.0,2.0,130.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Plain appam.
Appam with Vegetable Stew,South Indian,breakfast,1 serving,220,5.0,28.0,7.0,195.0,2.27,12.73,3.18,88.64,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Appam paired with mild vegetable stew.
Dosa,South Indian,breakfast,1 piece,35,2.0,12.98,1.4,73.0,5.7,37.1,4.0,208.6,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,"Plain dosa, generic home-style."
Idiyappam,South Indian,breakfast,2 nests,100,3.0,25.0,1.0,121.0,3.0,25.0,1.0,121.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,String hoppers / rice noodles.
Idli,South Indian,breakfast,1 piece,39,1.99,12.01,0.2,58.0,5.1,30.8,0.5,148.7,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,"Steamed idli, plain."
Masala Dosa,South Indian,breakfast,1 piece,180,8.64,52.2,15.84,432.0,4.8,29.0,8.8,240.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Includes potato filling and moderate oil.
Neer Dosa,South Indian,breakfast,1 piece,25,0.75,5.25,0.5,27.5,3.0,21.0,2.0,110.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Thin rice crepe.
Pongal,South Indian,breakfast,1 plate,200,8.6,36.0,12.0,300.0,4.3,18.0,6.0,150.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Ven pongal style.
Puttu,South Indian,breakfast,1 serving,100,4.0,30.0,4.0,170.0,4.0,30.0,4.0,170.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Rice flour puttu.
Rava Dosa,South Indian,breakfast,1 piece,70,4.0,22.0,6.0,158.0,5.71,31.43,8.57,225.71,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Thin semolina dosa with oil.
Upma,South Indian,breakfast,1 plate,200,7.0,40.0,16.0,320.0,3.5,20.0,8.0,160.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Semolina upma with vegetables.
Uttapam,South Indian,breakfast,1 piece,120,5.4,38.4,7.2,246.0,4.5,32.0,6.0,205.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Plain vegetable uttapam.
Ven Pongal,South Indian,breakfast,1 plate,250,7.0,35.0,11.0,267.0,2.8,14.0,4.4,106.8,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Rice and moong dal pongal with ghee.
Oatmeal,Western,breakfast,1 bowl,40,6.76,26.52,2.76,155.6,16.9,66.3,6.9,389.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Dry rolled oats basis.
Porridge,Western,breakfast,1 bowl,200,5.0,24.0,5.0,144.0,2.5,12.0,2.5,72.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Cooked oat porridge.
Falafel,Arabian,snack,1 piece,30,2.5,5.0,2.5,60.0,8.33,16.67,8.33,200.0,Standard recipe estimate,USDA FoodData Central comparable chickpea snack,recipe-estimate,Single falafel ball.
Chicken Dumplings,Chinese,snack,4 pieces,120,10.0,18.0,5.0,160.0,8.33,15.0,4.17,133.33,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Steamed chicken dumplings.
Spring Roll,Chinese,snack,1 piece,80,3.0,10.0,6.0,110.0,3.75,12.5,7.5,137.5,USDA FoodData Central,USDA FoodData Central snack reference,cross-validated,Deep-fried spring roll.
Veg Dumplings,Chinese,snack,4 pieces,120,6.0,20.0,4.0,150.0,5.0,16.67,3.33,125.0,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Steamed vegetable dumplings.
Chocolate Bar,Dessert,snack,1 bar,50,3.9,29.5,15.0,273.0,7.8,59.0,30.0,546.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Milk chocolate bar.
Cookies,Dessert,snack,2 cookies,30,1.8,21.0,6.0,144.0,6.0,70.0,20.0,480.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Generic sweet cookies.
Chicken Burger (Cheese),Fast Food,snack,1 piece,250,50.0,85.0,42.5,1050.0,20.0,34.0,17.0,420.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,"Chicken cheeseburger, average."
Chicken Nuggets,Fast Food,snack,6 pieces,100,14.0,15.0,18.0,275.0,14.0,15.0,18.0,275.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Breaded nuggets.
French Fries,Fast Food,snack,1 serving,150,5.1,61.5,22.5,468.0,3.4,41.0,15.0,312.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Deep-fried fries.
Potato Chips,Fast Food,snack,1 packet,30,2.1,15.9,10.5,160.8,7.0,53.0,35.0,536.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Plain salted chips.
Veg Burger (Cheese),Fast Food,snack,1 piece,220,26.4,70.4,30.8,704.0,12.0,32.0,14.0,320.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,"Vegetable cheeseburger, average."
Bhajiya,Gujarati,snack,1 bowl,120,5.0,22.0,12.0,220.0,4.17,18.33,10.0,183.33,Standard recipe estimate,IFCT 2017 + USDA FoodData Central comparable fritter items,recipe-estimate,Gram flour vegetable fritters.
Dabeli,Gujarati,snack,1 piece,180,6.0,35.0,12.0,272.0,3.33,19.44,6.67,151.11,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spiced potato bun snack.
Dhokla,Gujarati,snack,1 piece,35,2.1,9.45,1.75,59.5,6.0,27.0,5.0,170.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Steamed khaman/dhokla style.
Dhokla Sandwich,Gujarati,snack,2 pieces,70,5.0,16.0,2.0,102.0,7.14,22.86,2.86,145.71,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Dhokla layered with chutney and filling.
